16:30:43 | yu | 01/01/2017 19:00,1.234,1.86,4.454,6.329,66,25.95
16:30:43 | yu | 01/01/2017 19:30,1.328,2.564,4.591,5.214,80,25.75
16:30:44 | yu | 01/01/2017 20:00,1.266,2.2,4.404,4.809,-99.9,25.45
16:31:59 | ip | 01/01/2017 00:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
16:32:00 | ip | 01/01/2017 00:30,0.875,1.39,4.421,4.506,-99.9,-99.9
16:32:00 | ip | 01/01/2017 01:00,0.763,1.15,4.52,5.513,49,25.65
16:32:01 | ip | 01/01/2017 01:30,0.77,1.41,4.582,5.647,75,25.5
16:32:01 | ip | 01/01/2017 02:00,0.747,1.16,4.515,5.083,91,25.45
16:32:02 | ip | 01/01/2017 02:30,0.718,1.61,4.614,6.181,68,25.45
16:32:03 | ip | 01/01/2017 03:00,0.707,1.34,4.568,4.705,73,25.5
16:32:03 | ip | 01/01/2017 03:30,0.729,1.21,4.786,4.484,63,25.5
16:32:04 | ip | 01/01/2017 04:00,0.733,1.2,4.897,5.042,68,25.5
16:32:04 | ip | 01/01/2017 04:30,0.711,1.29,5.019,8.439,66,25.5
16:32:05 | ip | 01/01/2017 05:00,0.698,1.11,4.867,4.584,64,25.55
16:32:05 | ip | 01/01/2017 05:30,0.686,1.14,4.755,5.211,56,25.55
16:32:06 | ip | 01/01/2017 06:00,0.721,1.12,4.843,5.813,67,25.5
16:32:06 | ip | 01/01/2017 06:30,0.679,1.22,4.948,4.71,81,25.45
16:32:07 | ip | 01/01/2017 07:00,0.66,1.08,5.068,5.353,90,25.45
16:32:07 | ip | 01/01/2017 07:30,0.662,1.18,5.263,7.436,67,25.4
16:32:08 | ip | 01/01/2017 08:00,0.653,1.21,5.007,6.001,90,25.45
16:32:08 | ip | 01/01/2017 08:30,0.665,1.17,4.952,6.414,90,25.55
16:32:09 | ip | 01/01/2017 09:00,0.684,1.55,5.022,6.691,88,25.6
16:32:09 | ip | 01/01/2017 09:30,0.679,1.09,4.926,6.804,88,25.65
