10:33:05 | tspd | 01/03/2017 07:00,1.171,1.76,4.313,4.601,77,24.75 | 01/03/2017 07:30,1.138,1.87,4.199,4.541,156,24.8 | 01/03/2017 08:00,1.145,1.99,4.223,4.472,140,24.95 | 01/03/2017 08:30,1.105,2.01,4.317,4.589,153,25 | 01/03/2017 09:00,1.068,1.92,4.28,4.522,130,25
10:33:15 | tspd | 01/03/2017 09:30,1.142,2.1,4.468,4.593,151,25 | 01/03/2017 10:00,1.083,1.73,4.291,4.485,105,25 | 01/03/2017 10:30,1.105,1.8,4.451,4.864,77,25 | 01/03/2017 11:00,1.056,1.93,4.541,4.944,104,25 | 01/03/2017 11:30,1.145,2.057,4.434,5.842,88,25.55
10:33:25 | tspd | 01/03/2017 12:00,1.167,2.3,4.537,5.6,130,25.75 | 01/03/2017 12:30,1.189,1.88,4.384,6.184,91,25.75 | 01/03/2017 13:00,1.228,1.81,4.432,4.951,118,25.75 | 01/03/2017 13:30,1.309,2.06,4.423,5.643,115,25.75 | 01/03/2017 14:00,1.258,2.2,4.46,5.078,91,25.7
10:33:35 | tspd | 01/03/2017 14:30,1.287,2.12,4.496,5.171,98,25.7 | 01/03/2017 15:00,1.459,2.57,4.657,5.944,92,25.65 | 01/03/2017 15:30,1.427,2.64,4.557,4.721,88,25.5 | 01/03/2017 16:00,1.531,2.75,4.716,6.11,149,25.45 | 01/03/2017 16:30,1.735,2.73,4.665,5.471,80,25.4
10:33:46 | tspd | 01/03/2017 17:00,1.843,3.3,4.881,5.381,111,25.3 | 01/03/2017 17:30,1.908,3.22,4.922,5.519,132,25.25 | 01/03/2017 18:00,1.902,3.44,4.93,5.484,128,25.15 | 01/03/2017 18:30,2.017,3.05,4.926,5.791,115,25.05 | 01/03/2017 19:00,2.094,3.634,4.944,5.978,136,25.1
10:33:56 | tspd | 01/03/2017 19:30,1.957,3.183,4.837,5.789,125,25.15 | 01/03/2017 20:00,2.022,3.324,5.057,5.817,130,25.3 | 01/03/2017 20:30,2.075,3.74,4.931,5.704,130,25.4 | 01/03/2017 21:00,2.157,3.745,5.053,6.124,129,25.5 | 01/03/2017 21:30,2.145,3.38,5.263,6.295,115,25.5
10:34:06 | tspd | 01/03/2017 22:00,2.15,3.865,5.141,6.581,130,25.45 | 01/03/2017 22:30,2.153,3.411,5.394,5.805,105,25.45 | 01/03/2017 23:00,2.173,3.481,5.329,6.213,113,25.4 | 01/03/2017 23:30,1.944,3.17,5.175,6.189,123,25.4 | 01/04/2017 00:00,1.98,3.019,5.217,5.486,99,25.4
10:34:16 | tspd | 01/04/2017 00:30,1.981,3.18,5.223,6.792,108,25.4 | 01/04/2017 01:00,1.901,3.531,5.069,6.005,101,25.4 | 01/04/2017 01:30,1.97,3.482,5.313,6.904,106,25.4 | 01/04/2017 02:00,2.165,3.33,5.409,6.986,98,25.4 | 01/04/2017 02:30,1.981,4.108,5.148,5.8,112,25.4
10:34:26 | tspd | 01/04/2017 03:00,1.943,3.486,5.251,6.163,104,25.35 | 01/04/2017 03:30,1.727,2.98,5.029,6.574,111,25.25 | 01/04/2017 04:00,1.648,2.97,4.975,5.924,102,25.25 | 01/04/2017 04:30,1.857,2.922,5.048,5.591,87,25.3 | 01/04/2017 05:00,1.77,2.91,5.01,6.621,105,25.4
10:34:36 | tspd | 01/04/2017 05:30,1.646,3.47,5.086,6.408,97,25.4 | 01/04/2017 06:00,1.613,2.602,4.94,5.488,115,25.4 | 01/04/2017 06:30,1.403,2.6,4.697,6.551,109,25.4 | 01/04/2017 07:00,1.46,2.46,4.808,5.64,91,25.4 | 01/04/2017 07:30,1.492,2.24,4.71,6.748,77,25.4
